gid,estado,fecha_carga
2031,0,2023-05-03 8:00:00
2024,0,2023-05-03 8:00:00
2036,0,2023-05-03 8:00:00
2016,0,2023-05-03 8:00:00
2023,0,2023-05-03 8:00:00
2032,0,2023-05-03 8:00:00
2001,0,2023-05-03 8:00:00
2003,0,2023-05-03 8:00:00
1959,0,2023-05-03 8:00:00
2046,0,2023-05-03 8:00:00
2011,0,2023-05-03 8:00:00
1996,0,2023-05-03 8:00:00
1961,0,2023-05-03 8:00:00
2042,0,2023-05-03 8:00:00
1967,0,2023-05-03 8:00:00
2055,0,2023-05-03 8:00:00
2057,0,2023-05-03 8:00:00
2131,0,2023-05-03 8:00:00
2149,0,2023-05-03 8:00:00
2113,0,2023-05-03 8:00:00
2080,0,2023-05-03 8:00:00
2121,0,2023-05-03 8:00:00
2088,0,2023-05-03 8:00:00
2096,0,2023-05-03 8:00:00
2089,0,2023-05-03 8:00:00
2148,0,2023-05-03 8:00:00
2072,5,2023-05-03 8:00:00
2110,0,2023-05-03 8:00:00
2074,0,2023-05-03 8:00:00
2059,0,2023-05-03 8:00:00
2067,0,2023-05-03 8:00:00
2107,0,2023-05-03 8:00:00
2068,0,2023-05-03 8:00:00
2104,5,2023-05-03 8:00:00
2106,5,2023-05-03 8:00:00
2099,5,2023-05-03 8:00:00
2062,0,2023-05-03 8:00:00
2063,0,2023-05-03 8:00:00
2081,0,2023-05-03 8:00:00
2105,0,2023-05-03 8:00:00
2130,0,2023-05-03 8:00:00
2138,0,2023-05-03 8:00:00
2139,0,2023-05-03 8:00:00
2142,0,2023-05-03 8:00:00
2116,0,2023-05-03 8:00:00
2119,0,2023-05-03 8:00:00
2120,0,2023-05-03 8:00:00
2153,0,2023-05-03 8:00:00
2152,0,2023-05-03 8:00:00
2156,0,2023-05-03 8:00:00
2154,0,2023-05-03 8:00:00
2204,4,2023-05-03 8:00:00
2190,0,2023-05-03 8:00:00
2220,0,2023-05-03 8:00:00
2224,0,2023-05-03 8:00:00
2225,0,2023-05-03 8:00:00
2233,0,2023-05-03 8:00:00
2167,5,2023-05-03 8:00:00
2210,0,2023-05-03 8:00:00
2183,0,2023-05-03 8:00:00
2161,0,2023-05-03 8:00:00
2182,0,2023-05-03 8:00:00
2196,0,2023-05-03 8:00:00
2208,0,2023-05-03 8:00:00
2217,0,2023-05-03 8:00:00
2223,0,2023-05-03 8:00:00
2216,0,2023-05-03 8:00:00
2166,0,2023-05-03 8:00:00
2203,0,2023-05-03 8:00:00
2195,0,2023-05-03 8:00:00
2159,5,2023-05-03 8:00:00
2212,3,2023-05-03 8:00:00
2184,0,2023-05-03 8:00:00
2193,0,2023-05-03 8:00:00
2194,0,2023-05-03 8:00:00
2160,0,2023-05-03 8:00:00
2162,0,2023-05-03 8:00:00
2176,0,2023-05-03 8:00:00
2178,0,2023-05-03 8:00:00
2232,0,2023-05-03 8:00:00
2200,0,2023-05-03 8:00:00
1957,0,2023-05-03 8:00:00
1891,0,2023-05-03 8:00:00
1902,0,2023-05-03 8:00:00
1887,0,2023-05-03 8:00:00
1866,0,2023-05-03 8:00:00
1947,0,2023-05-03 8:00:00
1911,0,2023-05-03 8:00:00
1945,0,2023-05-03 8:00:00
1892,0,2023-05-03 8:00:00
1876,0,2023-05-03 8:00:00
1867,0,2023-05-03 8:00:00
1940,0,2023-05-03 8:00:00
1904,0,2023-05-03 8:00:00
1920,0,2023-05-03 8:00:00
1954,0,2023-05-03 8:00:00
1939,0,2023-05-03 8:00:00
1898,0,2023-05-03 8:00:00
1952,0,2023-05-03 8:00:00
1943,0,2023-05-03 8:00:00
1948,5,2023-05-03 8:00:00
1865,0,2023-05-03 8:00:00
1914,0,2023-05-03 8:00:00
1903,0,2023-05-03 8:00:00
1908,0,2023-05-03 8:00:00
1909,0,2023-05-03 8:00:00
1910,0,2023-05-03 8:00:00
1860,0,2023-05-03 8:00:00
1936,0,2023-05-03 8:00:00
1859,0,2023-05-03 8:00:00
1881,0,2023-05-03 8:00:00
1886,0,2023-05-03 8:00:00
1879,0,2023-05-03 8:00:00
1992,0,2023-05-03 8:00:00
2033,0,2023-05-03 8:00:00
1997,0,2023-05-03 8:00:00
1981,0,2023-05-03 8:00:00
2037,0,2023-05-03 8:00:00
1972,0,2023-05-03 8:00:00
1977,0,2023-05-03 8:00:00
2000,0,2023-05-03 8:00:00
2008,5,2023-05-03 8:00:00
2056,5,2023-05-03 8:00:00
