gid;angulo;fecha_actua;hora_actual;idpm;ih;created_use;created_dat;last_edited;last_edited.1
27613;251;;;1444;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27614;302;;;1042;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27544;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2821;90;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27505;100;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;3633;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27375;163;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;138;210;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27436;52;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;230;90;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27498;52;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;230;90;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27457;149;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;231;120;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27585;160;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2047;60;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27547;162;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2048;180;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27430;100;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;3633;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27591;101;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;3634;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27456;122;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1044;90;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27385;97;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2544;210;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27392;257;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;336;-1;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27607;257;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;336;-1;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27570;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2822;30;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
